GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIOS_CORREGIMIENTO_VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CONDICION_DE_LA_VICTIMA,CLASE_DE_SINIESTRO,LESIONADO,HOMICIDIOS,CLINICA,SITIO,CLASE_DE_VEHICULO,MARCA,MATRICULA,TIPO_DE_SERVICIO,EMPRESA, , .1
HERIDOS,11/11/2020 12:00:00 AM,2020,1899-12-31T22:05:00.000,NOCHE,3_MIERCOLES,VERSALLE S,CARRERA 28 CALLE 42-43,URBANA,TECNICO,3.53865,-76.29721,NO MANTENER DISTANCIA,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,SUZUKI,CALI,PARTICULAR,NO APLICA,,
DAÑOS,11/11/2020 12:00:00 AM,2020,1899-12-31T11:00:00.000,MAÑANA,3_MIERCOLES,CENTRO,CALLE 29 CARRERA 27-13,URBANA,TECNICO,3.52603,-76.29852,NO MANTENER DISTANCIA,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,KIA,PALMIRA,PARTICULAR,NO APLICA,,
DAÑOS,11/11/2020 12:00:00 AM,2020,1899-12-31T11:00:00.000,MAÑANA,3_MIERCOLES,CENTRO,CALLE 29 CARRERA 27-13,URBANA,TECNICO,3.52603,-76.29852,NO MANTENER DISTANCIA,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,PALMIRA,PARTICULAR,NO APLICA,,
HERIDOS,11/11/2020 12:00:00 AM,2020,1899-12-31T11:00:00.000,MAÑANA,3_MIERCOLES,VIA PALMIRA POTRERILLO,KM 11 +572,RURAL,TECNICO,3.57064,-76.22106,NO ESTAR PENDIENTE DE LA VIA,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,INTERNATIONAL,PALMIRA,PUBLICO,NO APLICA,,
HERIDOS,11/11/2020 12:00:00 AM,2020,1899-12-31T11:00:00.000,MAÑANA,3_MIERCOLES,VIA PALMIRA POTRERILLO,KM 11 +572,RURAL,TECNICO,3.57064,-76.22106,NO ESTAR PENDIENTE DE LA VIA,MOTOCICLISTA,CHOQUE,1,NO APLICA,RAUL,NO APLICA,MOTO,SUZUKI,JAMUNDI,PARTICULAR,NO APLICA,,
HERIDOS,11/11/2020 12:00:00 AM,2020,1899-12-31T10:00:00.000,MAÑANA,3_MIERCOLES,CENTRO,CARRERA 26 CALLE 32A,URBANA,TECNICO,3.52922,-76.29687,NO RESPETAR PRELACION,MOTOCICLISTA,CHOQUE,1,NO APLICA,PALMIRA,NO APLICA,MOTO,VICTORY,PALMIRA,PARTICULAR,NO APLICA,,
HERIDOS,11/11/2020 12:00:00 AM,2020,1899-12-31T10:00:00.000,MAÑANA,3_MIERCOLES,CENTRO,CARRERA 26 CALLE 32A,URBANA,TECNICO,3.52922,-76.29687,NO RESPETAR PRELACION,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,CALI,PARTICULAR,NO APLICA,,
HERIDOS,11/11/2020 12:00:00 AM,2020,1899-12-31T10:00:00.000,MAÑANA,3_MIERCOLES,CENTRO,CARRERA 26 CALLE 32A,URBANA,TECNICO,3.52922,-76.29687,NO RESPETAR PRELACION,ACOMPAÑANTE MOTOCICLISTA,CHOQUE,1,NO APLICA,PALMIRA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,
DAÑOS,11/12/2020 12:00:00 AM,2020,1899-12-31T06:40:00.000,MAÑANA,4_JUEVES,CENTRO,CALLE 28 CARRERA 26-25,URBANA,TECNICO,3.52495,-76.29713,ARRANCAR SIN PRECAUCION,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,MAZDA,FLORIDA,PARTICULAR,NO APLICA,,
DAÑOS,11/12/2020 12:00:00 AM,2020,1899-12-31T06:40:00.000,MAÑANA,4_JUEVES,CENTRO,CALLE 28 CARRERA 26-25,URBANA,TECNICO,3.52495,-76.29713,ARRANCAR SIN PRECAUCION,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,MOTO,BAJAJ,ROLDANILLO,PARTICULAR,NO APLICA,,
